"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#TourTVE 
https://t.co/biK5Io7XIe  @cyclismactu @Manolo_Saiz @AndreGreipel #albasini #chavanel @Matxin_ @FlechaExtra @velonews @veloimages",FALSE,0,NA,2017-07-21 12:19:39,FALSE,NA,"888372902315294720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Galloso_JLM",0,FALSE,FALSE,NA,NA
"No confiáis en Castroviejo para la crono? @pedrodelgadoweb #TourTVE",FALSE,0,NA,2017-07-21 12:18:42,FALSE,NA,"888372664158629890",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Landanismo",0,FALSE,FALSE,NA,NA
"#TourTVE",FALSE,0,NA,2017-07-21 12:18:04,FALSE,NA,"888372501335724032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JONATHA75074901",0,FALSE,FALSE,NA,NA
"#TourTVE el sábado Castro tiene una oportunidad para ganar",FALSE,0,NA,2017-07-21 12:17:45,FALSE,NA,"888372423468384257",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","eduvima",0,FALSE,FALSE,NA,NA
"RT @GFworldtour: #TourTVE @pedrodelgadoweb dato curioso, el ganador de la @letapedutour ciclodeportiva hizo el tiempo de la grupeta ayer <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>…",FALSE,0,NA,2017-07-21 12:17:12,FALSE,NA,"888372282892189705",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","denys_d_estdara",45,TRUE,FALSE,NA,NA
"Lo único que hemos sacado en claro de esta mierda de Tour, De Gent mola.
#TeamDeGent
#TourTVE https://t.co/O89QPEl6DA",FALSE,1,NA,2017-07-21 12:17:08,FALSE,NA,"888372267889152000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ainaritaritari",0,FALSE,FALSE,NA,NA
"¿Contempláis la posibilidad de que haya abanicos en los último 20km? #TourTVE",FALSE,0,NA,2017-07-21 12:15:58,FALSE,NA,"888371974900244486",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","FranOteo",0,FALSE,FALSE,NA,NA
"#TourTVE el de la calculadora es @Markelirizar :))",FALSE,1,NA,2017-07-21 12:14:17,FALSE,NA,"888371548888993792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Markel419",0,FALSE,FALSE,NA,NA
"#TourTVE @pedrodelgadoweb dato curioso, el ganador de la @letapedutour ciclodeportiva hizo el tiempo de la grupeta ayer <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>pro vs amateur",FALSE,58,NA,2017-07-21 12:13:08,FALSE,NA,"888371261788782592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GFworldtour",45,FALSE,FALSE,NA,NA
"Han dicho Fabio Parra. Señores,ponganse en pie y saluden, han nombrado a un CICLISTA. #TourTVE",FALSE,1,NA,2017-07-21 12:13:00,FALSE,NA,"888371225898123265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","danaga2904",0,FALSE,FALSE,NA,NA
